序号,关键词,一级分类,二级主题,搜索意图,百度统计PV,第三方流量指数,GEO机会值,社媒热度值,数据来源,来源数,需求级别
1,WPS办公软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,57.0,,,,百度搜索联想/相关搜索、百度统计真实流量,2,
2,WPS演示,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,5.0,,,,百度搜索联想/相关搜索、百度统计真实流量,2,
3,WPS表格,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,3.0,,,,百度搜索联想/相关搜索、百度统计真实流量,2,
4,wps软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,43.0,,,,百度搜索联想/相关搜索、百度统计真实流量,2,
5,WPS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,318652.0,,,206222.0,百度统计真实流量、短视频/内容平台-小红书,2,
6,办公软件excel表格,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,3.0,154.0,,,百度统计真实流量、第三方工具-社区SEO,2,
7,金山word,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,2.0,6.0,,,百度统计真实流量、第三方工具-社区SEO,2,
8,eteams一体化的移动办公云平台,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
9,wps365教育版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
10,wps365旗舰版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
11,wpsofficePC,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
12,wpsoffice可以卸载吗,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
13,wpsoffice教育考试专用版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
14,wpsoffice是干什么的,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
15,wps使用解析,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
16,wps演示在试图打开文件时遇到错误请尝试下…,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
17,wps演示工具,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
18,wps演示文稿,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
19,"wps演示无法从所选文件添加视频,请检查",品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
20,wps演示者模式,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
21,wps演示者视图,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
22,wps演示西文默认,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
23,wps进入演示者视图,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
24,云办公,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
25,共享办公租一个工位,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
26,写字楼出租办公室,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
27,深圳共享办公室出租,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
28,电信综合办公,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
29,线上办公,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,,,,,百度搜索联想/相关搜索,1,
30,wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,834739.0,,,,百度统计真实流量,1,
31,wps office,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,51207.0,,,,百度统计真实流量,1,
32,wps网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,3042.0,,,,百度统计真实流量,1,
33,WPS Office,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,2892.0,,,,百度统计真实流量,1,
34,wpsoffice,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,2006.0,,,,百度统计真实流量,1,
35,Wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,1306.0,,,,百度统计真实流量,1,
36,wps在线,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,965.0,,,,百度统计真实流量,1,
37,金山办公,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,946.0,,,,百度统计真实流量,1,
38,wps网页版入口,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,866.0,,,,百度统计真实流量,1,
39,WPS office,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,686.0,,,,百度统计真实流量,1,
40,wPS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,622.0,,,,百度统计真实流量,1,
41,WPs,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,597.0,,,,百度统计真实流量,1,
42,WPS网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,548.0,,,,百度统计真实流量,1,
43,金山wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,449.0,,,,百度统计真实流量,1,
44,www.wps.cn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,449.0,,,,百度统计真实流量,1,
45,WPS OFFICE,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,407.0,,,,百度统计真实流量,1,
46,办公软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,360.0,,,,百度统计真实流量,1,
47,在线wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,322.0,,,,百度统计真实流量,1,
48,WPS在线,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,292.0,,,,百度统计真实流量,1,
49,wps个人版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,276.0,,,,百度统计真实流量,1,
50,金山WPS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,273.0,,,,百度统计真实流量,1,
51,wps.cn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,270.0,,,,百度统计真实流量,1,
52,wpS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,253.0,,,,百度统计真实流量,1,
53,WPSoffice,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,232.0,,,,百度统计真实流量,1,
54,wps\,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,227.0,,,,百度统计真实流量,1,
55,wps网页,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,214.0,,,,百度统计真实流量,1,
56,wps网页版登录入口,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,189.0,,,,百度统计真实流量,1,
57,金山办公软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,173.0,,,,百度统计真实流量,1,
58,wps在线表格,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,173.0,,,,百度统计真实流量,1,
59,wps在线使用,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,159.0,,,,百度统计真实流量,1,
60,wps表格,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,148.0,,,,百度统计真实流量,1,
61,wps365,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,133.0,,,,百度统计真实流量,1,
62,w'p'swps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,125.0,,,,百度统计真实流量,1,
63,wps wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,120.0,,,,百度统计真实流量,1,
64,wps word文档,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,117.0,,,,百度统计真实流量,1,
65,WpS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,117.0,,,,百度统计真实流量,1,
66,wps网页版在线使用,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,112.0,,,,百度统计真实流量,1,
67,在线WPS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,100.0,,,,百度统计真实流量,1,
68,wps ppt,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,98.0,,,,百度统计真实流量,1,
69,WPSOFFICE,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,95.0,,,,百度统计真实流量,1,
70,WPS网页,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,92.0,,,,百度统计真实流量,1,
71,wps 在线,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,89.0,,,,百度统计真实流量,1,
72,wps offce,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,89.0,,,,百度统计真实流量,1,
73,WPS\,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,85.0,,,,百度统计真实流量,1,
74,wps文档,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,82.0,,,,百度统计真实流量,1,
75,在线wps网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,81.0,,,,百度统计真实流量,1,
76,https://www.wps.cn/,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,78.0,,,,百度统计真实流量,1,
77,www.wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,76.0,,,,百度统计真实流量,1,
78,WPS在线表格,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,76.0,,,,百度统计真实流量,1,
79,WPSOffice,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,67.0,,,,百度统计真实流量,1,
80,"wps,",品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,66.0,,,,百度统计真实流量,1,
81,WPS个人版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,64.0,,,,百度统计真实流量,1,
82,金山软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,63.0,,,,百度统计真实流量,1,
83,wps 网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,57.0,,,,百度统计真实流量,1,
